   50   50  0.400000E-01  0.400000E-01  0.869219E-01  0.987360E-01  0.184892E+00
  100  100  0.200000E-01  0.200000E-01  0.592069E-01  0.674637E-01  0.128016E+00
  200  200  0.100000E-01  0.100000E-01  0.346443E-01  0.389530E-01  0.733278E-01
  400  400  0.500000E-02  0.500000E-02  0.186533E-01  0.208584E-01  0.386304E-01
